NUM_BODIES
5

NAMES
Sun
Mercury
Venus
Earth
Mars

MASSES
1.9885e+30
3.3011e+23
4.8675e+24
5.9724e+24
6.4171e+23

RADII
6.95508e+08
2.4397e+07
6.0518e+07
6.371e+06
3.3962e+07

TRAJECTORIES
Step No,Sunx,Suny,Sunz,Sunvx,Sunvy,Sunvz,Mercuryx,Mercuryy,Mercuryz,Mercuryvx,Mercuryvy,Mercuryvz,Venusx,Venusy,Venusz,Venusvx,Venusvy,Venusvz,Earthx,Earthy,Earthz,Earthvx,Earthvy,Earthvz,Marsx,Marsy,Marsz,Marsvx,Marsvy,Marsvz,
7.5890625,-1.0814514E+09,8.1635541E+08,18579838.,-10.796034,-11.299498,0.34868662,3.5748794E+10,-5.1392183E+10,-7.6261795E+09,30071.498,30444.268,-270.39504,1.0486134E+11,2.3833183E+10,-5.7790145E+09,-7575.5008,34043.008,904.22299,-1.4834865E+11,-2.4378588E+10,19422459.,4538.8253,-29472.918,0.90157226,-8.1865721E+10,2.2824797E+11,6.7663218E+09,-21920.800,-6062.8261,411.00008,
8.2140625,-1.0820344E+09,8.1574523E+08,18598664.,-10.795378,-11.299531,0.34857409,3.7345460E+10,-4.9710595E+10,-7.6352139E+09,29049.600,31839.317,-62.657205,1.0443633E+11,2.5667947E+10,-5.7293158E+09,-8167.7287,33908.965,936.55816,-1.4809505E+11,-2.5968640E+10,19471094.,4854.9344,-29417.090,0.89972373,-8.3048333E+10,2.2791747E+11,6.7884234E+09,-21879.390,-6178.4800,407.56063,
8.8390625,-1.0826173E+09,8.1513506E+08,18617484.,-10.794714,-11.299547,0.34846155,3.8885240E+10,-4.7954206E+10,-7.6329176E+09,27964.140,33214.205,149.26368,1.0397940E+11,2.7495196E+10,-5.6778783E+09,-8757.6763,33764.618,968.62032,-1.4782440E+11,-2.7555586E+10,19519628.,5170.3136,-29357.882,0.89781233,-8.4228694E+10,2.2758073E+11,6.8103390E+09,-21837.426,-6293.8380,404.11376,
9.4640625,-1.0832002E+09,8.1452488E+08,18636298.,-10.794044,-11.299544,0.34834902,4.0364667E+10,-4.6124170E+10,-7.6190669E+09,26813.846,34566.467,365.28298,1.0349067E+11,2.9314374E+10,-5.6247170E+09,-9345.1658,33610.002,1000.3997,-1.4753674E+11,-2.9139244E+10,19568057.,5484.9270,-29295.305,0.89583833,-8.5406774E+10,2.2723777E+11,6.8320683E+09,-21794.908,-6408.8980,400.65958,
10.089063,-1.0837831E+09,8.1391471E+08,18655106.,-10.793367,-11.299521,0.34823654,4.1780207E+10,-4.4221779E+10,-7.5934433E+09,25597.450,35893.441,585.29936,1.0297029E+11,3.1124928E+10,-5.5698474E+09,-9930.0194,33445.158,1031.8866,-1.4723211E+11,-3.0719433E+10,19616378.,5798.7389,-29229.368,0.89380201,-8.6582544E+10,2.2688860E+11,6.8536109E+09,-21751.841,-6523.6580,397.19818,
10.714063,-1.0843659E+09,8.1330454E+08,18673908.,-10.792683,-11.299480,0.34812416,4.3128256E+10,-4.2248476E+10,-7.5558339E+09,24313.709,37192.257,809.19241,1.0241841E+11,3.2926306E+10,-5.5132856E+09,-10512.060,33270.128,1063.0715,-1.4691056E+11,-3.2295970E+10,19664587.,6111.7138,-29160.083,0.89170368,-8.7755973E+10,2.2653324E+11,6.8749664E+09,-21708.224,-6638.1162,393.72966,
11.339063,-1.0849487E+09,8.1269437E+08,18692703.,-10.791993,-11.299418,0.34801193,4.4405145E+10,-4.0205862E+10,-7.5060332E+09,22961.409,38459.815,1036.8201,1.0183517E+11,3.4717959E+10,-5.4550481E+09,-11091.112,33084.958,1093.9446,-1.4657213E+11,-3.3868677E+10,19712681.,6423.8164,-29087.462,0.88954363,-8.8927032E+10,2.2617171E+11,6.8961343E+09,-21664.062,-6752.2705,390.25410,
11.964063,-1.0855314E+09,8.1208420E+08,18711493.,-10.791296,-11.299336,0.34789990,4.5607140E+10,-3.8095715E+10,-7.4438439E+09,21539.390,39692.778,1268.0161,1.0122075E+11,3.6499342E+10,-5.3951521E+09,-11666.998,32889.697,1124.4967,-1.4621687E+11,-3.5437373E+10,19760657.,6735.0116,-29011.516,0.88732215,-9.0095691E+10,2.2580403E+11,6.9171145E+09,-21619.355,-6866.1190,386.77160,
12.589063,-1.0861142E+09,8.1147404E+08,18730276.,-10.790593,-11.299233,0.34778811,4.6730447E+10,-3.5919998E+10,-7.3690782E+09,20046.563,40887.550,1502.5865,1.0057533E+11,3.8269910E+10,-5.3336152E+09,-12239.545,32684.396,1154.7182,-1.4584483E+11,-3.7001879E+10,19808512.,7045.2643,-28932.259,0.88503957,-9.1261922E+10,2.2543020E+11,6.9379063E+09,-21574.106,-6979.6598,383.28226,
13.214063,-1.0866968E+09,8.1086388E+08,18749054.,-10.789884,-11.299109,0.34767664,4.7771215E+10,-3.3680876E+10,-7.2815600E+09,18481.933,42040.266,1740.3069,9.9899073E+10,4.0029123E+10,-5.2704553E+09,-12808.577,32469.111,1184.5999,-1.4545607E+11,-3.8562015E+10,19856241.,7354.5398,-28849.701,0.88269619,-9.2425695E+10,2.2505026E+11,6.9585096E+09,-21528.318,-7092.8910,379.78616,
