NUM_BODIES
5

NAMES
Sun
Mercury
Venus
Earth
Mars

MASSES
1.9885e+30
3.3011e+23
4.8675e+24
5.9724e+24
6.4171e+23

RADII
6.95508e+08
2.4397e+07
6.0518e+07
6.371e+06
3.3962e+07

TRAJECTORIES
Step No,Sunx,Suny,Sunz,Sunvx,Sunvy,Sunvz,Mercuryx,Mercuryy,Mercuryz,Mercuryvx,Mercuryvy,Mercuryvz,Venusx,Venusy,Venusz,Venusvx,Venusvy,Venusvz,Earthx,Earthy,Earthz,Earthvx,Earthvy,Earthvz,Marsx,Marsy,Marsz,Marsvx,Marsvy,Marsvz,
6.0000000,-1.0805262E+09,8.1732411E+08,18549990.,-10.797134,-11.299453,0.34887140,3.3484848E+10,-5.4580933E+10,-7.6791030E+09,32086.830,28092.353,-647.44843,1.0574139E+11,2.0953308E+10,-5.8693106E+09,-6623.2453,34323.236,853.11806,-1.4885930E+11,-2.1869161E+10,19345921.,4036.2316,-29583.549,0.90543654,-8.0001636E+10,2.2881206E+11,6.7323881E+09,-21990.236,-5880.6757,416.52065,
6.5000000,-1.0809926E+09,8.1683598E+08,18565063.,-10.796628,-11.299506,0.34878246,3.4885793E+10,-5.3391548E+10,-7.7104078E+09,31408.094,29214.490,-493.49016,1.0546553E+11,2.2437957E+10,-5.8330222E+09,-7098.5285,34237.057,879.36172,-1.4869041E+11,-2.3147995E+10,19385065.,4289.9575,-29545.718,0.90412502,-8.0952307E+10,2.2856002E+11,6.7504408E+09,-21958.234,-5973.7375,413.78543,
7.0000000,-1.0814590E+09,8.1634784E+08,18580133.,-10.796118,-11.299548,0.34869356,3.6258194E+10,-5.2153433E+10,-7.7351122E+09,30693.410,30325.038,-337.18134,1.0516910E+11,2.3919025E+10,-5.7955964E+09,-7572.4643,34144.304,905.43741,-1.4851056E+11,-2.4425242E+10,19424153.,4543.2389,-29505.718,0.90277305,-8.1901602E+10,2.2830396E+11,6.7683756E+09,-21925.875,-6066.6101,411.04541,
7.5000000,-1.0819254E+09,8.1585970E+08,18595198.,-10.795605,-11.299578,0.34860470,3.7600507E+10,-5.0867066E+10,-7.7531135E+09,29942.423,31422.957,-178.57436,1.0485217E+11,2.5396228E+10,-5.7570404E+09,-8044.9613,34044.997,931.34013,-1.4831975E+11,-2.5700808E+10,19463183.,4796.0574,-29463.554,0.90138077,-8.2849508E+10,2.2804389E+11,6.7861920E+09,-21893.160,-6159.2925,408.30063,
8.0000000,-1.0823918E+09,8.1537156E+08,18610260.,-10.795088,-11.299597,0.34851593,3.8911170E+10,-4.9532969E+10,-7.7643112E+09,29154.791,32507.151,-17.727638,1.0451480E+11,2.6869282E+10,-5.7173616E+09,-8515.9283,33939.158,957.06491,-1.4811801E+11,-2.6974598E+10,19502153.,5048.3945,-29419.232,0.89994833,-8.3796008E+10,2.2777980E+11,6.8038900E+09,-21860.089,-6251.7836,405.55115,
8.5000000,-1.0828582E+09,8.1488342E+08,18625317.,-10.794567,-11.299603,0.34842725,4.0188607E+10,-4.8151708E+10,-7.7686070E+09,28330.196,33576.464,145.29385,1.0415704E+11,2.8337904E+10,-5.6765674E+09,-8985.2742,33826.809,982.60681,-1.4790535E+11,-2.8246521E+10,19541063.,5300.2320,-29372.758,0.89847587,-8.4741087E+10,2.2751172E+11,6.8214694E+09,-21826.665,-6344.0824,402.79702,
9.0000000,-1.0833245E+09,8.1439527E+08,18640371.,-10.794043,-11.299597,0.34833870,4.1431228E+10,-4.6723901E+10,-7.7659055E+09,27468.340,34629.682,310.41800,1.0377898E+11,2.9801812E+10,-5.6346658E+09,-9452.9082,33707.974,1007.9609,-1.4768181E+11,-2.9516482E+10,19579910.,5551.5516,-29324.138,0.89696355,-8.5684730E+10,2.2723964E+11,6.8389298E+09,-21792.887,-6436.1879,400.03827,
9.5000000,-1.0837908E+09,8.1390713E+08,18655422.,-10.793516,-11.299579,0.34825029,4.2637429E+10,-4.5250215E+10,-7.7561141E+09,26568.957,35665.528,477.56505,1.0338067E+11,3.1260726E+10,-5.5916647E+09,-9918.7397,33582.680,1033.1224,-1.4744740E+11,-3.0784389E+10,19618693.,5802.3351,-29273.377,0.89541151,-8.6626921E+10,2.2696358E+11,6.8562711E+09,-21758.758,-6528.0992,397.27497,
10.000000,-1.0842571E+09,8.1341899E+08,18670468.,-10.792985,-11.299549,0.34816207,4.3805593E+10,-4.3731371E+10,-7.7391434E+09,25631.812,36682.663,646.64693,1.0296219E+11,3.2714367E+10,-5.5475724E+09,-10382.678,33450.952,1058.0863,-1.4720214E+11,-3.2050149E+10,19657409.,6052.5643,-29220.482,0.89381992,-8.7567646E+10,2.2668355E+11,6.8734932E+09,-21724.278,-6619.8151,394.50717,
10.500000,-1.0847234E+09,8.1293085E+08,18685510.,-10.792452,-11.299506,0.34807404,4.4934093E+10,-4.2168147E+10,-7.7149077E+09,24656.712,37679.682,817.56673,1.0252363E+11,3.4162455E+10,-5.5023972E+09,-10844.634,33312.819,1082.8479,-1.4694606E+11,-3.3313670E+10,19696058.,6302.2212,-29165.460,0.89218894,-8.8506888E+10,2.2639955E+11,6.8905958E+09,-21689.449,-6711.3348,391.73489,
