NUM_BODIES
5

NAMES
Sun
Mercury
Venus
Earth
Mars

MASSES
1.9885e+30
3.3011e+23
4.8675e+24
5.9724e+24
6.4171e+23

RADII
6.95508e+08
2.4397e+07
6.0518e+07
6.371e+06
3.3962e+07

TRAJECTORIES
Step No,Sunx,Suny,Sunz,Sunvx,Sunvy,Sunvz,Mercuryx,Mercuryy,Mercuryz,Mercuryvx,Mercuryvy,Mercuryvz,Venusx,Venusy,Venusz,Venusvx,Venusvy,Venusvz,Earthx,Earthy,Earthz,Earthvx,Earthvy,Earthvz,Marsx,Marsy,Marsz,Marsvx,Marsvy,Marsvz,
0.00000000,-1.0744605E+09,8.2366942E+08,18353690.,-10.803314,-11.297766,0.35002215,1.3348475E+10,-6.5457494E+10,-6.7209357E+09,37809.857,12833.943,-2419.2934,1.0743812E+11,1.4576051E+09,-6.2347067E+09,-363.73543,34838.521,498.98282,-1.5004941E+11,-5.1429286E+09,18832787.,705.85394,-29875.757,0.91874576,-6.7524941E+10,2.3171868E+11,6.4870573E+09,-22373.211,-4654.1276,451.61875,
0.69375000,-1.0750263E+09,8.2307764E+08,18372022.,-10.802769,-11.297992,0.34991561,1.5320417E+10,-6.4747803E+10,-6.8438149E+09,37470.293,14288.257,-2269.3035,1.0740394E+11,3.2822765E+09,-6.2076995E+09,-951.16103,34830.231,532.76665,-1.5000439E+11,-6.7074714E+09,18880885.,1018.2150,-29861.633,0.91770375,-6.8695988E+10,2.3147192E+11,6.5106297E+09,-22339.672,-4769.6034,448.37611,
1.3187500,-1.0756097E+09,8.2246754E+08,18390914.,-10.802198,-11.298211,0.34980539,1.7333429E+10,-6.3936450E+10,-6.9621534E+09,37070.678,15786.063,-2110.2511,1.0733650E+11,5.1626544E+09,-6.1780084E+09,-1556.6326,34811.335,567.44629,-1.4994086E+11,-8.3195376E+09,18930411.,1339.9525,-29843.649,0.91656484,-6.9901400E+10,2.3121121E+11,6.5347530E+09,-22304.524,-4888.3838,445.02474,
1.9437500,-1.0761930E+09,8.2185743E+08,18409801.,-10.801619,-11.298413,0.34969484,1.9323506E+10,-6.3044278E+10,-7.0717839E+09,36619.896,17281.362,-1946.7101,1.0723637E+11,7.0417329E+09,-6.1464489E+09,-2161.8023,34781.934,601.96434,-1.4985997E+11,-9.9305404E+09,18979874.,1661.3643,-29822.195,0.91536046,-7.1104898E+10,2.3094408E+11,6.5586951E+09,-22268.797,-5006.8911,441.66489,
2.5687500,-1.0767762E+09,8.2124731E+08,18428681.,-10.801031,-11.298600,0.34958396,2.1287862E+10,-6.2071449E+10,-7.1724641E+09,36117.028,18773.071,-1778.6844,1.0710357E+11,8.9189448E+09,-6.1130298E+09,-2766.4901,34742.029,636.31043,-1.4976172E+11,-1.1540293E+10,19029270.,1982.4131,-29797.277,0.91409080,-7.2306451E+10,2.3067057E+11,6.5824556E+09,-22232.493,-5125.1231,438.29666,
3.1937500,-1.0773595E+09,8.2063719E+08,18447556.,-10.800435,-11.298770,0.34947279,2.3223658E+10,-6.1018189E+10,-7.2639519E+09,35561.107,20260.034,-1606.1800,1.0693813E+11,1.0793723E+10,-6.0777609E+09,-3370.5157,34691.628,670.47425,-1.4964616E+11,-1.3148608E+10,19078595.,2303.0616,-29768.903,0.91275607,-7.3506029E+10,2.3039068E+11,6.6060340E+09,-22195.615,-5243.0778,434.92015,
3.8187500,-1.0779427E+09,8.2002705E+08,18466424.,-10.799831,-11.298924,0.34936135,2.5128004E+10,-5.9884786E+10,-7.3460057E+09,34951.120,21741.009,-1429.2055,1.0674010E+11,1.2665501E+10,-6.0406522E+09,-3973.6990,34630.739,704.44554,-1.4951328E+11,-1.4755299E+10,19127847.,2623.2726,-29737.079,0.91135650,-7.4703600E+10,2.3010443E+11,6.6294299E+09,-22158.164,-5360.7530,431.53545,
4.4437500,-1.0785259E+09,8.1941690E+08,18485287.,-10.799219,-11.299062,0.34924967,2.6997951E+10,-5.8671599E+10,-7.4183844E+09,34286.010,23214.657,-1247.7731,1.0650953E+11,1.4533713E+10,-6.0017144E+09,-4575.8599,34559.374,738.21406,-1.4936313E+11,-1.6360180E+10,19177022.,2943.0092,-29701.812,0.90989230,-7.5899134E+10,2.2981183E+11,6.6526427E+09,-22120.144,-5478.1465,428.14267,
5.0687500,-1.0791090E+09,8.1880675E+08,18504143.,-10.798600,-11.299184,0.34913778,2.8830494E+10,-5.7379061E+10,-7.4808477E+09,33564.678,24679.541,-1061.8998,1.0624646E+11,1.6397793E+10,-5.9609587E+09,-5176.8183,34477.548,771.76964,-1.4919573E+11,-1.7963065E+10,19226116.,3262.2344,-29663.110,0.90836370,-7.7092600E+10,2.2951290E+11,6.6756721E+09,-22081.555,-5595.2564,424.74190,
5.6937500,-1.0796921E+09,8.1819659E+08,18522994.,-10.797972,-11.299288,0.34902570,3.0622568E+10,-5.6007686E+10,-7.5331564E+09,32785.985,26134.107,-871.60780,1.0595099E+11,1.8257177E+10,-5.9183969E+09,-5776.3943,34385.281,805.10214,-1.4901111E+11,-1.9563770E+10,19275125.,3580.9116,-29620.981,0.90677093,-7.8283966E+10,2.2920765E+11,6.6985177E+09,-22042.400,-5712.0805,421.33324,
