NUM_BODIES
5

NAMES
Sun
Mercury
Venus
Earth
Mars

MASSES
1.9885e+30
3.3011e+23
4.8675e+24
5.9724e+24
6.4171e+23

RADII
6.95508e+08
2.4397e+07
6.0518e+07
6.371e+06
3.3962e+07

TRAJECTORIES
Step No,Sunx,Suny,Sunz,Sunvx,Sunvy,Sunvz,Mercuryx,Mercuryy,Mercuryz,Mercuryvx,Mercuryvy,Mercuryvz,Venusx,Venusy,Venusz,Venusvx,Venusvy,Venusvz,Earthx,Earthy,Earthz,Earthvx,Earthvy,Earthvz,Marsx,Marsy,Marsz,Marsvx,Marsvy,Marsvz,
1.2000000,-1.0756738E+09,8.2240044E+08,18392994.,-10.802136,-11.298236,0.34979334,1.7560712E+10,-6.3867829E+10,-6.9773930E+09,37039.780,15950.042,-2094.0169,1.0733741E+11,5.3698297E+09,-6.1752186E+09,-1623.1430,34811.934,571.29251,-1.4993830E+11,-8.4971367E+09,18935876.,1375.3938,-29842.558,0.91647651,-7.0034483E+10,2.3118416E+11,6.5374527E+09,-22300.807,-4901.5163,444.65835,
1.3000000,-1.0757672E+09,8.2230282E+08,18396016.,-10.802044,-11.298269,0.34977568,1.7881031E+10,-6.3731054E+10,-6.9955969E+09,36971.513,16189.314,-2068.2022,1.0732381E+11,5.6706219E+09,-6.1703065E+09,-1719.9785,34808.007,576.82653,-1.4992664E+11,-8.7549902E+09,18943795.,1426.8410,-29839.382,0.91629021,-7.0227186E+10,2.3114189E+11,6.5412969E+09,-22295.133,-4920.4974,444.12141,
1.4000000,-1.0758605E+09,8.2220520E+08,18399038.,-10.801952,-11.298302,0.34975801,1.8200767E+10,-6.3592211E+10,-7.0135783E+09,36901.939,16428.504,-2042.2743,1.0730936E+11,5.9713814E+09,-6.1653466E+09,-1816.8043,34803.811,582.35631,-1.4991453E+11,-9.0128167E+09,18951712.,1478.2795,-29836.117,0.91610222,-7.0419841E+10,2.3109946E+11,6.5451364E+09,-22289.445,-4939.4714,443.58425,
1.5000000,-1.0759538E+09,8.2210758E+08,18402060.,-10.801859,-11.298335,0.34974033,1.8519907E+10,-6.3451302E+10,-7.0313361E+09,36831.054,16667.608,-2016.2333,1.0729409E+11,6.2721059E+09,-6.1603389E+09,-1913.6196,34799.346,587.88180,-1.4990198E+11,-9.2706153E+09,18959628.,1529.7092,-29832.763,0.91591257,-7.0612446E+10,2.3105687E+11,6.5489713E+09,-22283.742,-4958.4384,443.04688,
1.6000000,-1.0760472E+09,8.2200997E+08,18405082.,-10.801766,-11.298367,0.34972264,1.8838440E+10,-6.3308326E+10,-7.0488694E+09,36758.855,16906.621,-1990.0791,1.0727797E+11,6.5727928E+09,-6.1552835E+09,-2010.4238,34794.612,593.40295,-1.4988898E+11,-9.5283853E+09,18967543.,1581.1297,-29829.321,0.91572124,-7.0805002E+10,2.3101411E+11,6.5528016E+09,-22278.024,-4977.3984,442.50929,
1.7000000,-1.0761405E+09,8.2191235E+08,18408104.,-10.801673,-11.298398,0.34970495,1.9156355E+10,-6.3163285E+10,-7.0661773E+09,36685.339,17145.538,-1963.8119,1.0726102E+11,6.8734401E+09,-6.1501803E+09,-2107.2160,34789.610,598.91973,-1.4987555E+11,-9.7861259E+09,18975455.,1632.5411,-29825.790,0.91552824,-7.0997509E+10,2.3097118E+11,6.5566272E+09,-22272.291,-4996.3513,441.97148,
1.8000000,-1.0762338E+09,8.2181473E+08,18411125.,-10.801580,-11.298430,0.34968725,1.9473640E+10,-6.3016179E+10,-7.0832587E+09,36610.501,17384.355,-1937.4317,1.0724323E+11,7.1740453E+09,-6.1450294E+09,-2203.9957,34784.338,604.43209,-1.4986166E+11,-1.0043836E+10,18983366.,1683.9431,-29822.170,0.91533357,-7.1189967E+10,2.3092810E+11,6.5604481E+09,-22266.544,-5015.2971,441.43347,
1.9000000,-1.0763271E+09,8.2171711E+08,18414147.,-10.801487,-11.298461,0.34966954,1.9790285E+10,-6.2867010E+10,-7.1001126E+09,36534.338,17623.068,-1910.9384,1.0722461E+11,7.4746061E+09,-6.1398309E+09,-2300.7619,34778.798,609.93999,-1.4984734E+11,-1.0301516E+10,18991276.,1735.3356,-29818.461,0.91513723,-7.1382375E+10,2.3088485E+11,6.5642644E+09,-22260.782,-5034.2359,440.89523,
2.0000000,-1.0764205E+09,8.2161949E+08,18417168.,-10.801393,-11.298491,0.34965182,2.0106278E+10,-6.2715777E+10,-7.1167381E+09,36456.847,17861.672,-1884.3322,1.0720514E+11,7.7751202E+09,-6.1345848E+09,-2397.5140,34772.989,615.44339,-1.4983256E+11,-1.0559164E+10,18999183.,1786.7185,-29814.664,0.91493921,-7.1574733E+10,2.3084143E+11,6.5680761E+09,-22255.005,-5053.1676,440.35679,
2.1000000,-1.0765138E+09,8.2152188E+08,18420189.,-10.801299,-11.298521,0.34963409,2.0421606E+10,-6.2562482E+10,-7.1331343E+09,36378.023,18100.162,-1857.6131,1.0718485E+11,8.0755853E+09,-6.1292912E+09,-2494.2513,34766.912,620.94224,-1.4981735E+11,-1.0816780E+10,19007089.,1838.0915,-29810.779,0.91473953,-7.1767041E+10,2.3079785E+11,6.5718831E+09,-22249.213,-5072.0923,439.81813,
